Account,active_days,total_trades,avg_daily_trades,avg_trade_size_usd,total_net_pnl,avg_daily_pnl,profitable_days,losing_days,avg_realized_win_rate,profitable_day_ratio,activity_segment,size_segment,consistency_segment
0x083384f897ee0f19899168e3b1bec365f52a9012,24,3818,159.08333333333334,33569.102223713766,1592824.507675,66367.68781979167,16,7,0.7706911497254099,0.6666666666666666,High activity,Large size,Consistent winners
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,52,7280,140.0,4359.8309302466505,45155.48262547,868.3746658744232,29,21,0.7746694551728613,0.5576923076923077,High activity,Small size,Consistent winners
0x271b280974205ca63b716753467d5a371de622ab,12,3809,317.4166666666667,11057.118418553686,-79717.174168,-6643.097847333333,8,3,0.7291901940773508,0.6666666666666666,High activity,Large size,Consistent winners
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,162,13311,82.16666666666667,484.8442941619222,130246.4471875491,803.9904147379574,141,21,0.8834986162967678,0.8703703703703703,High activity,Small size,Consistent winners
0x2c229d22b100a7beb69122eed721cee9b24011dd,69,3239,46.94202898550725,2553.7570373757217,165549.808272,2399.272583652174,53,16,0.7615892289549481,0.7681159420289855,Low activity,Small size,Consistent winners
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,43,815,18.953488372093023,1613.2556722621034,-31350.674749379996,-729.0854592879069,14,15,0.6742275521077364,0.32558139534883723,Low activity,Small size,Inconsistent
0x39cef799f8b69da1995852eea189df24eb5cae3c,46,3589,78.02173913043478,28188.549085190585,12998.262209930008,282.57091760717407,25,21,0.8311065086645512,0.5434782608695652,High activity,Large size,Inconsistent
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,28,332,11.857142857142858,9812.51560528366,53319.973067083,1904.2847523958214,15,11,1.0,0.5357142857142857,Low activity,Large size,Inconsistent
0x420ab45e0bd8863569a5efbb9c05d91f40624641,20,383,19.15,8334.762260556681,199237.62564302102,9961.881282151051,10,10,1.0,0.5,Low activity,Large size,Inconsistent
0x430f09841d65beb3f27765503d0f850b8bce7713,28,1237,44.17857142857143,2525.945975144083,415794.86540999997,14849.816621785712,7,8,1.0,0.25,Low activity,Small size,Inconsistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,144,8519,59.15972222222222,516.6442989710463,102112.8696398181,709.1171502765146,118,26,0.8128397849603801,0.8194444444444444,Low activity,Small size,Consistent winners
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,58,4356,75.10344827586206,16024.724760769133,669721.05824881,11546.914797393276,38,20,0.9126012876012876,0.6551724137931034,High activity,Large size,Consistent winners
0x4f93fead39b70a1824f981a54d4e55b278e9f760,321,7584,23.626168224299064,16038.456425115373,268251.402313,835.6741505077881,190,131,0.9598035894545963,0.5919003115264797,Low activity,Large size,Consistent winners
0x513b8629fe877bb581bf244e326a047b249c4ff1,39,12236,313.7435897435897,27603.84521556422,763997.91232431,19589.690059597695,21,17,0.8668135348666396,0.5384615384615384,High activity,Large size,Inconsistent
0x6d6a4b953f202f8df5bed40692e7fd865318264a,47,975,20.74468085106383,867.1703611532234,108544.3806950676,2309.4549084056935,27,20,0.9533730158730158,0.574468085106383,Low activity,Small size,Consistent winners
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,19,1590,83.6842105263158,9367.295108536868,427804.1286487099,22516.00677098473,4,15,0.5299145299145299,0.21052631578947367,High activity,Large size,Inconsistent
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,66,1430,21.666666666666668,4840.92212840505,402721.49311084,6101.840804709696,17,49,0.7983957219251336,0.25757575757575757,Low activity,Large size,Inconsistent
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,146,9893,67.76027397260275,3354.2092903010684,376500.14756932,2578.7681340364384,132,14,0.8804709200721843,0.9041095890410958,High activity,Small size,Consistent winners
