Account,trade_date,daily_pnl,total_fee,trades,realized_trades,profitable_trades,losing_trades,avg_trade_size_usd,median_trade_size_usd,gross_notional_usd,avg_abs_start_position,buy_trades,sell_trades,long_flag_count,short_flag_count,trade_win_rate,long_short_ratio,net_pnl_after_fees,active_day,classification,value,sentiment_bucket
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,92.923496,10,9,9,0,185847.0,21499.760000000002,1858470.0,127.08306,9,1,0,10,1.0,0.0,76617.076504,1,Greed,60.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,2355.038296,839,371,256,115,23593.019856972587,1008.71,19794543.66,569.2562822407629,350,489,571,269,0.6900269541778976,2.1226765799256504,98656.647368,1,Fear,44.0,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.270243,704.19937,531,111,83,28,10576.687156308852,844.0,5616220.88,2491.4838834274956,111,420,0,531,0.7477477477477478,0.0,374916.070873,1,Greed,72.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.9058,700.101577,210,78,78,0,26585.06338095238,12560.925,5582863.31,1033.50796,78,132,0,210,1.0,0.0,43700.804223,1,Neutral,54.0,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,0.0,141,132,132,0,10161.056241134751,1000.72,1432708.93,1468.7948574468085,132,9,0,141,1.0,0.0,30897.0887,1,Neutral,46.0,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,0.0,48,16,16,0,32032.5,14475.67,1537560.0,1152.5780833333333,16,32,0,48,1.0,0.0,55086.0,1,Fear,43.0,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,0.0,6,0,0,0,134600.00166666668,96691.795,807600.01,1387.6616999999999,0,6,0,6,,0.0,0.0,1,Neutral,47.0,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,10152.12224,561.226533,59,31,31,0,27178.041694915253,12206.78,1603504.46,1456.8740847457627,31,28,0,59,1.0,0.0,9590.895707,1,Neutral,49.0,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,115445.395538,555.888761,219,93,93,0,13233.776894977169,1029.75,2898197.14,1397.482792237443,93,126,0,219,1.0,0.0,114889.506777,1,Fear,25.0,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,115287.0,137.273975,55,1,1,0,24958.908545454546,916.72,1372739.97,1071.1167036363636,1,54,0,55,1.0,0.0,115149.726025,1,Extreme Fear,16.0,Fear
